Scalar, 16, 4420591, 120944, 100000, 44
SSE4, 16, 5600128, 192, 100000, 56
Scalar, 32, 6468996, 61120, 100000, 64
SSE4, 32, 3072800, 15832, 100000, 30
Scalar, 64, 19882590, 75952, 100000, 198
SSE4, 64, 4947994, 512, 100000, 49
Scalar, 128, 32169312, 75704, 100000, 321
SSE4, 128, 2761203, 26703, 100000, 27
Scalar, 256, 63616654, 105536, 100000, 636
SSE4, 256, 4925090, 28369, 100000, 49
Scalar, 512, 100043228, 38605, 100000, 1000
SSE4, 512, 9022696, 448, 100000, 90
Scalar, 1024, 156582921, 95854, 100000, 1565
SSE4, 1024, 22494070, 14927, 100000, 224
Scalar, 2048, 437759845, 60064, 100000, 4377
SSE4, 2048, 56497208, 43560, 100000, 564
Scalar, 4096, 831907924, 90529, 100000, 8319
SSE4, 4096, 94525885, 27200, 100000, 945
Scalar, 8192, 1653626162, 124712, 100000, 16536
SSE4, 8192, 326514181, 83512, 100000, 3265
Scalar, 16384, 3320569523, 138895, 100000, 33205
SSE4, 16384, 617426410, 34786, 100000, 6174
Scalar, 32768, 6646440965, 3128070, 100000, 66464
SSE4, 32768, 1614421075, 125808, 100000, 16144
Scalar, 65536, 9068072670, 289352, 100000, 90680
SSE4, 65536, 3186991828, 145064, 100000, 31869
Scalar, 131072, 18156076951, 3247063, 100000, 181560
SSE4, 131072, 6864212954, 224704, 100000, 68642
Scalar, 262144, 36265278661, 3425327, 100000, 362652
SSE4, 262144, 13693297018, 391712, 100000, 136932
Scalar, 524288, 73511553648, 3802080, 100000, 735115
SSE4, 524288, 28329956152, 781720, 100000, 283299
