Scalar, 16, 4610929, 20095, 100000, 46
SSE4, 16, 4424277, 40756, 100000, 44
AVX2, 16, 4796149, 23313, 100000, 47
Scalar, 32, 5660034, 271105, 100000, 56
SSE4, 32, 12764768, 8557430, 100000, 127
AVX2, 32, 4388786, 19054, 100000, 43
Scalar, 64, 5276750, 68544, 100000, 52
SSE4, 64, 3809114, 22701, 100000, 38
AVX2, 64, 4658431, 71667, 100000, 46
Scalar, 128, 7458670, 56926, 100000, 74
SSE4, 128, 7619677, 196684, 100000, 76
AVX2, 128, 7220510, 62844, 100000, 72
Scalar, 256, 6421490, 23310, 100000, 64
SSE4, 256, 8591753, 225323, 100000, 85
AVX2, 256, 16511258, 9445608, 100000, 165
Scalar, 512, 10018096, 40575, 100000, 100
SSE4, 512, 12133908, 163656, 100000, 121
AVX2, 512, 10564403, 96984, 100000, 105
Scalar, 1024, 19199657, 281300, 100000, 191
SSE4, 1024, 23017393, 267249, 100000, 230
AVX2, 1024, 22278062, 9475757, 100000, 222
Scalar, 2048, 26949328, 109382, 100000, 269
SSE4, 2048, 49094649, 149757, 100000, 490
AVX2, 2048, 22667905, 551116, 100000, 226
Scalar, 4096, 49861566, 407857, 100000, 498
SSE4, 4096, 85024538, 240281, 100000, 850
AVX2, 4096, 47712418, 284854, 100000, 477
Scalar, 8192, 267656876, 9715696, 100000, 2676
SSE4, 8192, 237800934, 168059, 100000, 2378
AVX2, 8192, 256590231, 136954, 100000, 2565
Scalar, 16384, 502754130, 8776537, 100000, 5027
SSE4, 16384, 495100129, 138496, 100000, 4951
AVX2, 16384, 483387735, 194831, 100000, 4833
Scalar, 32768, 993369329, 8543130, 100000, 9933
SSE4, 32768, 988033286, 404730, 100000, 9880
AVX2, 32768, 988265402, 175828, 100000, 9882
