SSE4, 16384, 27051408149, 383384, 1000000, 27051
Scalar, 32768, 272573288287, 7666657, 1000000, 272573
SSE4, 32768, 54318196139, 7047698, 1000000, 54318
Scalar, 24, 210964841, 6172022, 1000000, 210
SSE4, 24, 56956283, 39053, 1000000, 56
Scalar, 72, 675561082, 6093651, 1000000, 675
SSE4, 72, 130563449, 138017, 1000000, 130
Scalar, 216, 1875487069, 6239934, 1000000, 1875
SSE4, 216, 383973371, 239836, 1000000, 383
Scalar, 648, 5484933113, 6201065, 1000000, 5484
SSE4, 648, 1148978350, 126324, 1000000, 1148
Scalar, 1944, 16191105582, 6274041, 1000000, 16191
SSE4, 1944, 3280499367, 191221, 1000000, 3280
Scalar, 5832, 48691429258, 6071547, 1000000, 48691
SSE4, 5832, 9739865728, 305123, 1000000, 9739
Scalar, 17496, 144821287496, 24295264, 1000000, 144821
SSE4, 17496, 30081543388, 19764619, 1000000, 30081
Scalar, 8, 85321705, 6201362, 1000000, 85
SSE4, 8, 38406722, 89600, 1000000, 38
Scalar, 16, 164551749, 6016733, 1000000, 164
SSE4, 16, 38351808, 3720, 1000000, 38
Scalar, 32, 330764531, 6226316, 1000000, 330
SSE4, 32, 68748563, 38775, 1000000, 68
Scalar, 64, 626440890, 6264191, 1000000, 626
SSE4, 64, 119877476, 71526, 1000000, 119
Scalar, 128, 1160989954, 6287679, 1000000, 1160
SSE4, 128, 226781985, 58876, 1000000, 226
Scalar, 256, 2189608346, 6224552, 1000000, 2189
SSE4, 256, 449922105, 155093, 1000000, 449
Scalar, 512, 4303886352, 6262686, 1000000, 4303
SSE4, 512, 862034977, 119036, 1000000, 862
Scalar, 1024, 8558068846, 6290525, 1000000, 8558
SSE4, 1024, 1752410210, 84131, 1000000, 1752
Scalar, 2048, 17087452525, 6170588, 1000000, 17087
SSE4, 2048, 3535635090, 175004, 1000000, 3535
Scalar, 8, 62744085, 66866, 1000000, 62
SSE4, 8, 34389613, 50100, 1000000, 34
Scalar, 16, 170232344, 6248197, 1000000, 170
SSE4, 16, 43739102, 50533, 1000000, 43
Scalar, 32, 320606117, 6082298, 1000000, 320
SSE4, 32, 70504394, 57152, 1000000, 70
Scalar, 64, 587472568, 6186889, 1000000, 587
SSE4, 64, 139704549, 78390, 1000000, 139
Scalar, 128, 1134945877, 260280, 1000000, 1134
