Scalar, 16, 4582222, 185, 100000, 45
SSE4, 16, 4921204, 58, 100000, 49
AVX2, 16, 5668723, 133860, 100000, 56
Scalar, 32, 6559750, 46137, 100000, 65
SSE4, 32, 5217603, 22870, 100000, 52
AVX2, 32, 5510327, 213596, 100000, 55
Scalar, 64, 11465272, 23250, 100000, 114
SSE4, 64, 5395826, 113680, 100000, 53
AVX2, 64, 5790912, 42542, 100000, 57
Scalar, 128, 18751707, 224, 100000, 187
SSE4, 128, 6155129, 35160, 100000, 61
AVX2, 128, 7772277, 70089, 100000, 77
Scalar, 256, 42141563, 416658, 100000, 421
SSE4, 256, 16844580, 9116688, 100000, 168
AVX2, 256, 6474911, 29011, 100000, 64
Scalar, 512, 90794346, 720671, 100000, 907
SSE4, 512, 12059646, 90331, 100000, 120
AVX2, 512, 7899738, 94184, 100000, 78
Scalar, 1024, 170081431, 9352722, 100000, 1700
SSE4, 1024, 27747671, 228567, 100000, 277
AVX2, 1024, 12328057, 71318, 100000, 123
Scalar, 2048, 308002543, 8616085, 100000, 3080
SSE4, 2048, 39089609, 93850, 100000, 390
AVX2, 2048, 25311120, 136254, 100000, 253
Scalar, 4096, 605844535, 8675162, 100000, 6058
SSE4, 4096, 72256278, 70323, 100000, 722
AVX2, 4096, 37277258, 87994, 100000, 372
Scalar, 8192, 1196828092, 8535913, 100000, 11968
SSE4, 8192, 242810954, 106365, 100000, 2428
AVX2, 8192, 238552223, 94601, 100000, 2385
Scalar, 16384, 2310653933, 8652279, 100000, 23106
SSE4, 16384, 483444293, 245672, 100000, 4834
AVX2, 16384, 493326159, 128096, 100000, 4933
Scalar, 32768, 4592456943, 8708183, 100000, 45924
SSE4, 32768, 973537062, 187132, 100000, 9735
AVX2, 32768, 967097568, 166020, 100000, 9670
Scalar, 65536, 9268620848, 8661702, 100000, 92686
SSE4, 65536, 3121865420, 411305, 100000, 31218
AVX2, 65536, 3095293548, 268178, 100000, 30952
Scalar, 131072, 18457442530, 8645764, 100000, 184574
SSE4, 131072, 7020565661, 3550059, 100000, 70205
AVX2, 131072, 6805536446, 579212, 100000, 68055
Scalar, 262144, 37533019913, 9210174, 100000, 375330
SSE4, 262144, 13800718634, 7711790, 100000, 138007
AVX2, 262144, 13434587675, 1257845, 100000, 134345
Scalar, 524288, 77321592147, 12909113, 100000, 773215
SSE4, 524288, 34925338056, 6278622, 100000, 349253
AVX2, 524288, 35845031195, 8909839, 100000, 358450
